filenames,status,datatype,title,authors,date,licence,identifier,publisher,rightsHolder,rights,collectionIDs
EPML_SHL_INVMOB06_000_a_1_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, couverture",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_000_a_1,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_000_a_2_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, liste  des abréviations",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_000_a_2,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_000_b_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page de titre",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_000_b,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_001_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 1",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_001,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_002_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 2",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_002,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_003_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 3",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_003,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_004_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 4",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_004,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_005_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 5",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_005,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_006_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 6",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_006,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_007_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 7",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_007,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_008_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 8",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_008,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_009_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 9",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_009,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_010_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 10",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_010,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_011_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 11",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_011,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_012_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 12",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_012,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_013_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 13",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_013,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_014_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 14",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_014,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_015_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 15",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_015,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_016_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 16",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_016,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_017_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 17",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_017,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_018_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 18",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_018,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_019_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 19",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_019,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_020_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 20",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_020,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_021_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 21",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_021,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_022_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 22",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_022,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_023_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 23",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_023,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_024_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 24",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_024,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_025_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 25",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_025,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_026_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 26",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_026,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_027_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 27",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_027,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_028_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 28",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_028,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_029_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 29",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_029,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_030_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 30",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_030,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_031_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 31",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_031,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_032_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 32",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_032,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_033_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 33",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_033,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_034_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 34",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_034,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_035_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 35",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_035,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_036_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 36",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_036,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_037_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 37",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_037,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_038_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 38",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_038,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_039_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 39",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_039,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_040_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 40",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_040,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_041_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 41",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_041,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_042_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 42",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_042,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_043_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 43",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_043,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_044_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 44",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_044,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_045_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 45",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_045,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
EPML_SHL_INVMOB06_046_HD.tif,unpublished,http://purl.org/coar/resource_type/c_c513,"Enregistrement des objets isolés, Cahier VI, page 46",null,1985,CC-BY-NC-SA-4.0,EPML_SHL_INVMOB06_046,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
